Category,ID (PRODUCT.csv),NAME (PRODUCT.csv),Subcategory
Accessories,TEC-AC-10000844,Technology,Logitech Gaming G510s - Keyboard
Furnishings,FUR-FU-10001934,Furniture,Magnifier Swing Arm Lamp
Art,OFF-AR-10000380,Office Supplies,"Hunt PowerHouse Electric Pencil Sharpener, Blue"
Binders,OFF-BI-10003981,Office Supplies,"Avery Durable Plastic 1"" Binders"
Fasteners,OFF-FA-10000621,Office Supplies,"OIC Colored Binder Clips, Assorted Sizes"
Envelopes,OFF-EN-10002600,Office Supplies,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2"
Paper,OFF-PA-10004965,Office Supplies,Xerox 1921
Envelopes,OFF-EN-10002504,Office Supplies,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White"
Tables,FUR-TA-10001768,Furniture,Hon Racetrack Conference Tables
Binders,OFF-BI-10003650,Office Supplies,GBC DocuBind 300 Electric Binding Machine
Furnishings,FUR-FU-10002157,Furniture,Artistic Insta-Plaque
Storage,OFF-ST-10000777,Office Supplies,"Companion Letter/Legal File, Black"
Envelopes,OFF-EN-10002500,Office Supplies,Globe Weis Peel & Seel First Class Envelopes
Phones,TEC-PH-10003875,Technology,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7
Chairs,FUR-CH-10004063,Furniture,Global Deluxe High-Back Managers Chair
Tables,FUR-TA-10004534,Furniture,Bevis 44 x 96 Conference Tables
Binders,OFF-BI-10003274,Office Supplies,"Avery Durable Slant Ring Binders, No Labels"
Storage,OFF-ST-10002974,Office Supplies,"Trav-L-File Heavy-Duty Shuttle II, Black"
Furnishings,FUR-FU-10003773,Furniture,Eldon Cleatmat Plus Chair Mats for High Pile Carpets
Phones,TEC-PH-10002293,Technology,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5
Paper,OFF-PA-10002377,Office Supplies,Xerox 1916
Fasteners,OFF-FA-10002780,Office Supplies,Staples
Paper,OFF-PA-10001804,Office Supplies,Xerox 195
Paper,OFF-PA-10001736,Office Supplies,Xerox 1880
Art,OFF-AR-10001149,Office Supplies,"Sanford Colorific Colored Pencils, 12/Box"
Fasteners,OFF-FA-10002988,Office Supplies,Ideal Clamps
Binders,OFF-BI-10004781,Office Supplies,GBC Wire Binding Strips
Supplies,OFF-SU-10001218,Office Supplies,Fiskars Softgrip Scissors
Art,OFF-AR-10000940,Office Supplies,Newell 343
Envelopes,OFF-EN-10004030,Office Supplies,Convenience Packs of Business Envelopes
Paper,OFF-PA-10004327,Office Supplies,Xerox 1911
Appliances,OFF-AP-10001058,Office Supplies,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators
Furnishings,FUR-FU-10000521,Furniture,"Seth Thomas 14"" Putty-Colored Wall Clock"
Phones,TEC-PH-10000215,Technology,Plantronics Cordless Phone Headset with In-line Volume - M214C
Phones,TEC-PH-10001448,Technology,Anker Astro 15000mAh USB Portable Charger
Binders,OFF-BI-10002735,Office Supplies,GBC Prestige Therm-A-Bind Covers
Appliances,OFF-AP-10000326,Office Supplies,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection
Phones,TEC-PH-10001254,Technology,Jabra BIZ 2300 Duo QD Duo Corded Headset
Paper,OFF-PA-10001950,Office Supplies,Southworth 25% Cotton Antique Laid Paper & Envelopes
Paper,OFF-PA-10002254,Office Supplies,Xerox 1883
Storage,OFF-ST-10001590,Office Supplies,"Tenex Personal Project File with Scoop Front Design, Black"
Art,OFF-AR-10001547,Office Supplies,Newell 311
Labels,OFF-LA-10002475,Office Supplies,Avery 519
Phones,TEC-PH-10004536,Technology,Avaya 5420 Digital phone
Paper,OFF-PA-10002751,Office Supplies,Xerox 1920
Accessories,TEC-AC-10003657,Technology,Lenovo 17-Key USB Numeric Keypad
Envelopes,OFF-EN-10001990,Office Supplies,Staple envelope
Binders,OFF-BI-10004002,Office Supplies,Wilson Jones International Size A4 Ring Binders
Art,OFF-AR-10004441,Office Supplies,BIC Brite Liner Highlighters
Machines,TEC-MA-10000822,Technology,Lexmark MX611dhe Monochrome Laser Printer
Storage,OFF-ST-10000991,Office Supplies,Space Solutions HD Industrial Steel Shelving.
Chairs,FUR-CH-10004287,Furniture,SAFCO Arco Folding Chair
Art,OFF-AR-10002656,Office Supplies,Sanford Liquid Accent Highlighters
Appliances,OFF-AP-10002518,Office Supplies,Kensington 7 Outlet MasterPiece Power Center
Phones,TEC-PH-10003931,Technology,JBL Micro Wireless Portable Bluetooth Speaker
Paper,OFF-PA-10000659,Office Supplies,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”"
Paper,OFF-PA-10001144,Office Supplies,Xerox 1913
Chairs,FUR-CH-10003817,Furniture,"Global Value Steno Chair, Gray"
Appliances,OFF-AP-10000891,Office Supplies,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center
Labels,OFF-LA-10003148,Office Supplies,Avery 51
Appliances,OFF-AP-10002684,Office Supplies,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection"
Chairs,FUR-CH-10004698,Furniture,"Padded Folding Chairs, Black, 4/Carton"
Supplies,OFF-SU-10002189,Office Supplies,Acme Rosewood Handle Letter Opener
Art,OFF-AR-10001940,Office Supplies,"Sanford Colorific Eraseable Coloring Pencils, 12 Count"
Storage,OFF-ST-10003455,Office Supplies,"Tenex File Box, Personal Filing Tote with Lid, Black"
Accessories,TEC-AC-10004659,Technology,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB
Phones,TEC-PH-10003273,Technology,AT&T TR1909W
Phones,TEC-PH-10004896,Technology,Nokia Lumia 521 (T-Mobile)
Accessories,TEC-AC-10002345,Technology,HP Standard 104 key PS/2 Keyboard
Binders,OFF-BI-10001890,Office Supplies,Avery Poly Binder Pockets
Accessories,TEC-AC-10002323,Technology,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card
Storage,OFF-ST-10001328,Office Supplies,"Personal Filing Tote with Lid, Black/Gray"
Bookcases,FUR-BO-10002613,Furniture,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"
Phones,TEC-PH-10001552,Technology,I Needs 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink
Paper,OFF-PA-10000061,Office Supplies,Xerox 205
Art,OFF-AR-10003514,Office Supplies,4009 Highlighters by Sanford
Art,OFF-AR-10004685,Office Supplies,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
Art,OFF-AR-10004027,Office Supplies,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box"
Storage,OFF-ST-10001414,Office Supplies,Decoflex Hanging Personal Folder File
Binders,OFF-BI-10000343,Office Supplies,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue"
Paper,OFF-PA-10002749,Office Supplies,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page"
Paper,OFF-PA-10002666,Office Supplies,Southworth 25% Cotton Linen-Finish Paper & Envelopes
Tables,FUR-TA-10004289,Furniture,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables
Appliances,OFF-AP-10003622,Office Supplies,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack"
Appliances,OFF-AP-10003217,Office Supplies,Eureka Sanitaire  Commercial Upright
Furnishings,FUR-FU-10002960,Furniture,"Eldon 200 Class Desk Accessories, Burgundy"
Phones,TEC-PH-10001918,Technology,Nortel Business Series Terminal T7208 Digital phone
Storage,OFF-ST-10000642,Office Supplies,"Tennsco Lockers, Gray"
Phones,TEC-PH-10001700,Technology,Panasonic KX-TG6844B Expandable Digital Cordless Telephone
Fasteners,OFF-FA-10000134,Office Supplies,"Advantus Push Pins, Aluminum Head"
Storage,OFF-ST-10001522,Office Supplies,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h"
Accessories,TEC-AC-10001266,Technology,Memorex Micro Travel Drive 8 GB
Labels,OFF-LA-10004544,Office Supplies,Avery 505
Bookcases,FUR-BO-10004695,Furniture,OSullivan 2-Door Barrister Bookcase in Odessa Pine
Machines,TEC-MA-10000864,Technology,Cisco 9971 IP Video Phone Charcoal
Accessories,TEC-AC-10000109,Technology,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive
Phones,TEC-PH-10002563,Technology,Adtran 1202752G1
Fasteners,OFF-FA-10000585,Office Supplies,OIC Bulk Pack Metal Binder Clips
Paper,OFF-PA-10004000,Office Supplies,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle"
Furnishings,FUR-FU-10000087,Furniture,"Executive Impressions 14"" Two-Color Numerals Wall Clock"
Machines,TEC-MA-10001148,Technology,Swingline SM12-08 MicroCut Jam Free Shredder
Art,OFF-AR-10001958,Office Supplies,Stanley Bostitch Contemporary Electric Pencil Sharpeners
Art,OFF-AR-10001026,Office Supplies,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow"
Tables,FUR-TA-10003748,Furniture,Bevis 36 x 72 Conference Tables
Storage,OFF-ST-10002485,Office Supplies,Rogers Deluxe File Chest
Chairs,FUR-CH-10004860,Furniture,Global Low Back Tilter Chair
Chairs,FUR-CH-10004477,Furniture,"Global Push Button Managers Chair, Indigo"
Binders,OFF-BI-10001679,Office Supplies,GBC Instant Index System for Binding Systems
Tables,FUR-TA-10001705,Furniture,Bush Advantage Collection Round Conference Table
Tables,FUR-TA-10003473,Furniture,Bretford Rectangular Conference Table Tops
Furnishings,FUR-FU-10004017,Furniture,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49"""
Accessories,TEC-AC-10003832,Technology,Logitech P710e Mobile Speakerphone
Paper,OFF-PA-10002479,Office Supplies,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)
Paper,OFF-PA-10003349,Office Supplies,Xerox 1957
Furnishings,FUR-FU-10000576,Furniture,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base
Furnishings,FUR-FU-10004351,Furniture,Staple-based wall hangings
Phones,TEC-PH-10000011,Technology,PureGear Roll-On Screen Protector
Tables,FUR-TA-10002607,Furniture,KI Conference Tables
Furnishings,FUR-FU-10002505,Furniture,Eldon 100 Class Desk Accessories
Storage,OFF-ST-10002276,Office Supplies,Safco Steel Mobile File Cart
Paper,OFF-PA-10004082,Office Supplies,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book"
Appliances,OFF-AP-10002945,Office Supplies,Honeywell Enviracaire Portable HEPA Air Cleaner for 17 x 22 Room
Chairs,FUR-CH-10002965,Furniture,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black"
Paper,OFF-PA-10004569,Office Supplies,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page"
Storage,OFF-ST-10001228,Office Supplies,"Fellowes Personal Hanging Folder Files, Navy"
Envelopes,OFF-EN-10003296,Office Supplies,Tyvek Side-Opening Peel & Seel Expanding Envelopes
Storage,OFF-ST-10004804,Office Supplies,"Belkin 19"" Vented Equipment Shelf, Black"
Phones,TEC-PH-10001580,Technology,Logitech Mobile Speakerphone P710e - speaker phone
Accessories,TEC-AC-10000290,Technology,Sabrent 4-Port USB 2.0 Hub
Storage,OFF-ST-10002790,Office Supplies,Safco Industrial Shelving
Binders,OFF-BI-10003460,Office Supplies,Acco 3-Hole Punch
Appliances,OFF-AP-10002203,Office Supplies,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac
Machines,TEC-MA-10003353,Technology,Xerox WorkCentre 6505DN Laser Multifunction Printer
Phones,TEC-PH-10001433,Technology,Cisco Small Business SPA 502G VoIP phone
Accessories,TEC-AC-10004469,Technology,Microsoft Sculpt Comfort Mouse
Art,OFF-AR-10003602,Office Supplies,"Quartet Omega Colored Chalk, 12/Pack"
Fasteners,OFF-FA-10003472,Office Supplies,Bagged Rubber Bands
Storage,OFF-ST-10004180,Office Supplies,Safco Commercial Shelving
Envelopes,OFF-EN-10004386,Office Supplies,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13"
Storage,OFF-ST-10003208,Office Supplies,Adjustable Depth Letter/Legal Cart
Accessories,TEC-AC-10003628,Technology,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling
Furnishings,FUR-FU-10003274,Furniture,Regeneration Desk Collection
Binders,OFF-BI-10002557,Office Supplies,Presstex Flexible Ring Binders
Paper,OFF-PA-10002615,Office Supplies,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled"
Art,OFF-AR-10001427,Office Supplies,Newell 330
Paper,OFF-PA-10000673,Office Supplies,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad"
Paper,OFF-PA-10004470,Office Supplies,"Adams Write n Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages"
Storage,OFF-ST-10000876,Office Supplies,Eldon Simplefile Box Office
Labels,OFF-LA-10002043,Office Supplies,Avery 489
Binders,OFF-BI-10004967,Office Supplies,Round Ring Binders
Phones,TEC-PH-10001760,Technology,Bose SoundLink Bluetooth Speaker
Tables,FUR-TA-10002903,Furniture,"Bevis Round Bullnose 29"" High Table Top"
Paper,OFF-PA-10000474,Office Supplies,Easy-staple paper
Accessories,TEC-AC-10001956,Technology,Microsoft Arc Touch Mouse
Paper,OFF-PA-10004100,Office Supplies,Xerox 216
Binders,OFF-BI-10000778,Office Supplies,GBC VeloBinder Electric Binding Machine
Supplies,OFF-SU-10000646,Office Supplies,Premier Automatic Letter Opener
Fasteners,OFF-FA-10002983,Office Supplies,Advantus SlideClip Paper Clips
Labels,OFF-LA-10004689,Office Supplies,Avery 512
Accessories,TEC-AC-10002001,Technology,Logitech Wireless Gaming Headset G930
Bookcases,FUR-BO-10004709,Furniture,"Bush Westfield Collection Bookcases, Medium Cherry Finish"
Furnishings,FUR-FU-10004091,Furniture,"Howard Miller 13"" Diameter Goldtone Round Wall Clock"
Chairs,FUR-CH-10001891,Furniture,Global Deluxe Office Fabric Chairs
Furnishings,FUR-FU-10002918,Furniture,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection
Binders,OFF-BI-10004593,Office Supplies,Ibico Laser Imprintable Binding System Covers
Fasteners,OFF-FA-10004854,Office Supplies,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box"
Paper,OFF-PA-10002105,Office Supplies,Xerox 223
Storage,OFF-ST-10002756,Office Supplies,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand"
Paper,OFF-PA-10004243,Office Supplies,Xerox 1939
Furnishings,FUR-FU-10001861,Furniture,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts"
Binders,OFF-BI-10002706,Office Supplies,Avery Premier Heavy-Duty Binder with Round Locking Rings
Tables,FUR-TA-10002533,Furniture,BPI Conference Tables
Furnishings,FUR-FU-10002671,Furniture,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp
Art,OFF-AR-10003651,Office Supplies,Newell 350
Binders,OFF-BI-10001072,Office Supplies,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack"
Art,OFF-AR-10002135,Office Supplies,Boston Heavy-Duty Trimline Electric Pencil Sharpeners
Art,OFF-AR-10002804,Office Supplies,Faber Castell Col-Erase Pencils
Furnishings,FUR-FU-10001918,Furniture,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings
Chairs,FUR-CH-10004086,Furniture,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs
Furnishings,FUR-FU-10001756,Furniture,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany"
Labels,OFF-LA-10000634,Office Supplies,Avery 509
Furnishings,FUR-FU-10001588,Furniture,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black"
Phones,TEC-PH-10002398,Technology,AT&T 1070 Corded Phone
Paper,OFF-PA-10001937,Office Supplies,Xerox 21
Art,OFF-AR-10003373,Office Supplies,"Boston School Pro Electric Pencil Sharpener, 1670"
Chairs,FUR-CH-10002602,Furniture,DMI Arturo Collection Mission-style Design Wood Chair
Machines,TEC-MA-10002927,Technology,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier
Accessories,TEC-AC-10000892,Technology,NETGEAR N750 Dual Band Wi-Fi Gigabit Router
Fasteners,OFF-FA-10000624,Office Supplies,OIC Binder Clips
Accessories,TEC-AC-10001908,Technology,Logitech Wireless Headset h800
Furnishings,FUR-FU-10001967,Furniture,Telescoping Adjustable Floor Lamp
Phones,TEC-PH-10003645,Technology,Aastra 57i VoIP phone
Storage,OFF-ST-10000675,Office Supplies,"File Shuttle II and Handi-File, Black"
Chairs,FUR-CH-10003312,Furniture,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs
Labels,OFF-LA-10001074,Office Supplies,Round Specialty Laser Printer Labels
Binders,OFF-BI-10001524,Office Supplies,GBC Premium Transparent Covers with Diagonal Lined Pattern
Phones,TEC-PH-10004614,Technology,AT&T 841000 Phone
Binders,OFF-BI-10001153,Office Supplies,Ibico Recycled Grain-Textured Covers
Binders,OFF-BI-10001982,Office Supplies,Wilson Jones Custom Binder Spines & Labels
Binders,OFF-BI-10001922,Office Supplies,Storex Dura Pro Binders
Copiers,TEC-CO-10001449,Technology,Hewlett Packard LaserJet 3310 Copier
Binders,OFF-BI-10004140,Office Supplies,Avery Non-Stick Binders
Binders,OFF-BI-10003314,Office Supplies,Tuff Stuff Recycled Round Ring Binders
Tables,FUR-TA-10004575,Furniture,Hon 5100 Series Wood Tables
Fasteners,OFF-FA-10000490,Office Supplies,"OIC Binder Clips, Mini, 1/4"" Capacity, Black"
Art,OFF-AR-10000122,Office Supplies,Newell 314
Phones,TEC-PH-10000702,Technology,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White"
Art,OFF-AR-10001374,Office Supplies,"BIC Brite Liner Highlighters, Chisel Tip"
Paper,OFF-PA-10001970,Office Supplies,Xerox 1881
Binders,OFF-BI-10002160,Office Supplies,Acco Hanging Data Binders
